second, 192.168.25.63:53084 -> 172.17.0.3:1883, 172.17.0.3:1883 -> 192.168.25.63:53084, 172.17.0.2:6369 -> 172.17.0.3:50645, 172.17.0.1:58076 -> 239.255.255.250:1900, 172.17.0.1:44649 -> 239.255.255.250:1900, 172.17.0.3:50645 -> 172.17.0.2:6369
0, 0, 0, 243, 0, 0, 288
1, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0
3, 0, 0, 243, 0, 0, 288
4, 0, 0, 198, 0, 0, 1172
5, 0, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0, 0
7, 0, 0, 243, 0, 0, 288
8, 0, 0, 0, 0, 0, 0
9, 0, 0, 111, 0, 0, 66
10, 0, 0, 132, 0, 0, 222
11, 0, 0, 111, 0, 0, 66
12, 0, 0, 0, 0, 0, 0
13, 0, 0, 132, 0, 0, 222
14, 0, 0, 0, 0, 0, 0
15, 0, 0, 177, 0, 0, 177
16, 0, 0, 0, 0, 0, 0
17, 0, 0, 243, 0, 0, 288
18, 0, 0, 0, 0, 0, 0
19, 0, 0, 66, 0, 0, 111
20, 0, 0, 111, 0, 0, 66
21, 0, 0, 66, 0, 0, 111
22, 0, 0, 177, 0, 0, 177
23, 0, 0, 0, 0, 0, 0
24, 0, 0, 0, 0, 0, 0
25, 0, 0, 132, 0, 0, 222
26, 0, 0, 111, 0, 0, 66
27, 0, 0, 66, 0, 0, 111
28, 0, 0, 66, 0, 0, 111
29, 0, 0, 111, 0, 0, 66
30, 0, 0, 66, 0, 0, 111
31, 0, 0, 0, 0, 0, 0
32, 0, 0, 66, 0, 0, 111
33, 0, 0, 111, 0, 0, 66
34, 0, 0, 132, 0, 0, 222
35, 0, 0, 0, 0, 0, 0
36, 0, 0, 1304, 0, 0, 420
37, 0, 0, 111, 213, 0, 66
38, 0, 0, 0, 213, 0, 0
39, 0, 0, 66, 213, 0, 111
40, 0, 0, 177, 213, 0, 177
41, 0, 0, 0, 0, 0, 0
42, 0, 0, 177, 0, 0, 177
43, 0, 0, 0, 0, 0, 0
44, 0, 0, 66, 0, 0, 111
45, 0, 0, 177, 0, 0, 177
46, 0, 0, 0, 0, 0, 0
47, 0, 0, 243, 0, 0, 288
48, 0, 0, 0, 0, 0, 0
49, 0, 0, 0, 0, 0, 0
50, 0, 0, 132, 0, 0, 222
51, 0, 0, 111, 0, 0, 66
52, 0, 0, 0, 0, 0, 0
53, 0, 0, 243, 0, 0, 288
54, 0, 0, 0, 0, 0, 0
55, 0, 0, 0, 0, 0, 0
56, 0, 0, 66, 0, 0, 111
57, 0, 0, 177, 0, 0, 177
58, 0, 0, 762, 0, 0, 475
59, 0, 0, 177, 0, 0, 177
60, 0, 0, 66, 0, 0, 111
61, 0, 0, 0, 0, 0, 0
62, 0, 0, 66, 0, 0, 111
63, 0, 0, 177, 0, 0, 177
64, 0, 0, 198, 0, 0, 1172
65, 0, 0, 132, 0, 0, 222
66, 0, 0, 0, 0, 0, 0
67, 0, 0, 111, 0, 0, 66
68, 0, 0, 66, 0, 0, 111
69, 0, 0, 66, 0, 0, 111
70, 0, 0, 111, 0, 0, 66
71, 0, 0, 132, 0, 0, 222
72, 0, 0, 0, 0, 0, 0
73, 0, 0, 111, 0, 0, 66
74, 0, 0, 0, 0, 0, 0
75, 0, 0, 132, 0, 0, 222
76, 0, 0, 111, 0, 0, 66
77, 0, 0, 0, 0, 0, 0
78, 0, 0, 66, 0, 0, 111
79, 0, 0, 177, 0, 0, 177
80, 0, 0, 0, 0, 0, 0
81, 0, 0, 132, 0, 0, 222
82, 0, 0, 0, 0, 0, 0
83, 0, 0, 111, 0, 0, 66
84, 0, 0, 66, 0, 0, 111
85, 0, 0, 942, 0, 0, 652
86, 0, 0, 0, 0, 0, 0
87, 0, 0, 0, 0, 0, 0
88, 0, 0, 243, 0, 0, 288
89, 0, 0, 0, 0, 0, 0
90, 0, 0, 177, 0, 0, 177
91, 0, 0, 66, 0, 0, 111
92, 0, 0, 0, 0, 0, 0
93, 0, 0, 0, 0, 0, 0
94, 0, 0, 243, 0, 0, 288
95, 0, 0, 0, 0, 0, 0
96, 0, 0, 1238, 0, 0, 309
97, 0, 0, 111, 0, 0, 177
98, 0, 0, 66, 0, 0, 0
99, 0, 0, 66, 0, 0, 111
100, 0, 0, 111, 0, 0, 66
101, 0, 0, 66, 0, 0, 111
102, 0, 0, 177, 0, 0, 177
103, 0, 0, 0, 0, 0, 0
104, 0, 0, 66, 0, 0, 111
105, 0, 0, 177, 0, 0, 177
106, 0, 0, 0, 0, 0, 0
107, 0, 0, 177, 0, 0, 177
108, 0, 0, 66, 0, 0, 111
109, 0, 0, 0, 0, 0, 0
110, 0, 0, 177, 0, 0, 177
111, 0, 0, 66, 0, 0, 111
112, 0, 0, 111, 0, 0, 66
113, 0, 0, 66, 0, 0, 111
114, 0, 0, 66, 0, 0, 111
115, 0, 0, 111, 0, 0, 66
116, 0, 0, 66, 0, 0, 111
117, 0, 0, 66, 0, 0, 111
118, 0, 0, 177, 0, 0, 177
119, 0, 0, 0, 0, 0, 0
120, 0, 0, 0, 0, 0, 0
121, 0, 0, 132, 0, 0, 222
122, 0, 0, 111, 0, 0, 66
123, 0, 0, 66, 0, 0, 111
124, 0, 0, 198, 0, 0, 1172
125, 0, 0, 177, 0, 0, 177
126, 0, 0, 66, 0, 0, 111
127, 0, 0, 177, 0, 0, 177
128, 534, 352, 1488, 0, 0, 2617
129, 0, 0, 243, 0, 0, 288
130, 66, 89, 380, 0, 0, 66
131, 0, 0, 132, 0, 0, 222
132, 0, 0, 111, 0, 0, 66
133, 0, 0, 0, 0, 0, 0
134, 0, 0, 132, 0, 0, 222
135, 0, 0, 111, 0, 0, 66
136, 0, 0, 66, 0, 0, 111
137, 0, 0, 66, 0, 0, 111
138, 0, 0, 111, 0, 0, 66
139, 0, 0, 132, 0, 0, 222
140, 0, 0, 0, 0, 0, 0
141, 0, 0, 177, 0, 0, 177
142, 0, 0, 66, 0, 0, 111
143, 0, 0, 0, 0, 0, 0
144, 0, 0, 177, 0, 0, 177
145, 0, 0, 66, 0, 0, 111
146, 0, 0, 66, 0, 0, 111
147, 0, 0, 177, 0, 0, 177
148, 0, 0, 66, 0, 0, 111
149, 0, 0, 111, 0, 0, 66
150, 0, 0, 66, 0, 0, 111
151, 0, 0, 0, 0, 0, 0
152, 0, 0, 66, 0, 0, 111
153, 0, 0, 177, 0, 0, 177
154, 0, 0, 0, 0, 0, 0
155, 0, 0, 111, 0, 0, 66
156, 0, 0, 1238, 0, 0, 309
157, 0, 0, 66, 0, 213, 111
158, 0, 0, 111, 0, 213, 66
159, 0, 0, 66, 0, 213, 111
160, 252, 171, 132, 0, 213, 476
161, 0, 0, 66, 0, 0, 111
162, 0, 0, 111, 0, 0, 66
163, 0, 0, 66, 0, 0, 111
164, 0, 0, 0, 0, 0, 0
165, 0, 0, 177, 0, 0, 177
