second, 0.0.0.0:-1 -> 252.212.2.255:-1, 172.17.0.1:45170 -> 239.255.255.250:1900, 172.17.0.2:1883 -> 192.168.43.1:44340, 172.17.0.2:1883 -> 172.17.0.1:36932, 172.17.0.1:36932 -> 172.17.0.2:1883, 172.17.0.2:46633 -> 172.17.0.3:6369, 172.17.0.3:6369 -> 172.17.0.2:46633, 192.168.43.1:44340 -> 172.17.0.2:1883
0, 0, 0, 0, 0, 0, 66, 70, 0
1, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 269, 473, 0, 0, 0
3, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 0, 0
5, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 0, 0, 0, 0
9, 0, 0, 708, 2712, 3372, 70, 66, 552
10, 0, 0, 1444, 4850, 5510, 0, 0, 700
11, 0, 0, 1746, 5820, 6612, 0, 0, 840
12, 0, 0, 1812, 5754, 6612, 0, 0, 840
13, 0, 0, 1576, 4652, 5510, 0, 0, 700
14, 0, 0, 1312, 4850, 5510, 0, 0, 766
15, 0, 0, 1680, 5688, 6410, 66, 70, 836
16, 0, 0, 1274, 4012, 4610, 0, 0, 630
17, 0, 0, 1812, 5820, 6612, 0, 0, 840
18, 0, 0, 1510, 4586, 5510, 0, 0, 700
19, 0, 0, 1812, 5820, 6612, 0, 0, 840
20, 0, 0, 1444, 4850, 5510, 0, 0, 700
21, 0, 0, 1812, 5820, 6612, 0, 0, 840
22, 0, 0, 1374, 4718, 5308, 0, 0, 560
23, 0, 0, 1410, 4012, 4610, 0, 0, 700
24, 0, 0, 1510, 4850, 5510, 70, 66, 700
25, 0, 0, 1746, 5820, 6612, 0, 0, 840
26, 0, 0, 1510, 4784, 5510, 0, 0, 630
27, 0, 0, 1576, 4916, 5510, 0, 0, 770
28, 0, 0, 1312, 4784, 5510, 0, 0, 762
29, 0, 0, 368, 1036, 1102, 0, 0, 210
30, 0, 0, 0, 0, 0, 66, 70, 0
31, 0, 0, 0, 0, 0, 0, 0, 0
32, 0, 0, 0, 0, 0, 0, 0, 0
33, 0, 0, 0, 0, 0, 0, 0, 0
34, 0, 0, 0, 467, 473, 0, 0, 0
35, 0, 0, 0, 0, 0, 0, 0, 0
36, 0, 0, 0, 0, 0, 0, 0, 0
37, 0, 0, 0, 0, 0, 0, 0, 0
38, 0, 0, 0, 0, 0, 0, 0, 0
39, 0, 0, 0, 0, 0, 70, 66, 0
40, 0, 0, 0, 0, 0, 0, 0, 0
41, 0, 0, 0, 0, 0, 0, 0, 0
42, 0, 0, 0, 0, 0, 0, 0, 0
43, 0, 0, 0, 0, 0, 0, 0, 0
44, 0, 0, 815, 3277, 3541, 0, 0, 350
45, 0, 0, 1141, 4799, 4865, 66, 70, 490
46, 0, 0, 978, 4236, 4170, 0, 0, 420
47, 0, 0, 978, 4104, 4170, 0, 0, 420
48, 0, 0, 815, 3541, 3475, 0, 0, 482
49, 0, 0, 815, 3475, 3475, 0, 0, 482
50, 0, 0, 978, 4170, 4170, 0, 0, 420
51, 0, 0, 978, 4170, 4170, 0, 0, 420
52, 0, 0, 749, 3409, 3475, 0, 0, 412
53, 0, 0, 1044, 4170, 4170, 0, 0, 622
54, 0, 0, 749, 3475, 3475, 70, 66, 280
55, 0, 0, 881, 3541, 3475, 0, 0, 552
56, 0, 0, 912, 4038, 3968, 0, 0, 614
57, 0, 0, 718, 2912, 2982, 0, 0, 350
58, 0, 0, 978, 4104, 4170, 0, 0, 420
59, 0, 0, 652, 2846, 2780, 0, 0, 544
60, 0, 0, 912, 4104, 4170, 66, 70, 482
61, 0, 0, 718, 2582, 2714, 0, 0, 350
62, 0, 0, 978, 4170, 4170, 0, 0, 420
63, 0, 0, 749, 3409, 3475, 0, 0, 280
64, 0, 0, 881, 3541, 3475, 0, 0, 420
65, 0, 0, 326, 1390, 1390, 0, 0, 272
66, 0, 0, 0, 0, 0, 0, 0, 0
67, 0, 0, 0, 0, 0, 0, 0, 0
68, 0, 0, 0, 467, 473, 0, 0, 0
69, 0, 0, 0, 0, 0, 70, 66, 0
70, 0, 0, 0, 0, 0, 0, 0, 0
71, 0, 0, 0, 0, 0, 0, 0, 0
72, 0, 0, 0, 0, 0, 0, 0, 0
73, 0, 0, 0, 0, 0, 0, 0, 0
74, 0, 0, 0, 0, 0, 0, 0, 0
75, 0, 0, 0, 0, 0, 66, 70, 0
76, 0, 0, 0, 0, 0, 0, 0, 0
77, 0, 0, 388, 916, 1708, 0, 0, 264
78, 0, 0, 485, 1145, 2135, 0, 0, 330
79, 0, 0, 582, 1374, 2562, 0, 0, 396
80, 0, 0, 485, 1145, 2135, 0, 0, 330
81, 0, 0, 582, 1374, 2562, 0, 0, 396
82, 0, 0, 582, 1374, 2562, 0, 0, 396
83, 0, 0, 582, 1374, 2562, 0, 0, 396
84, 0, 0, 582, 1374, 2562, 70, 66, 396
85, 70, 213, 485, 1145, 2135, 0, 0, 330
86, 0, 213, 388, 916, 1708, 0, 0, 264
87, 0, 213, 582, 1374, 2562, 0, 0, 396
88, 0, 213, 485, 1145, 2135, 0, 0, 330
89, 0, 0, 485, 1145, 2135, 0, 0, 330
90, 0, 0, 388, 916, 1708, 66, 70, 264
91, 0, 0, 485, 1145, 2135, 0, 0, 330
92, 0, 0, 485, 1145, 2135, 0, 0, 330
93, 0, 0, 485, 1145, 2135, 0, 0, 330
94, 0, 0, 485, 1145, 2135, 0, 0, 330
95, 0, 0, 582, 1374, 2562, 0, 0, 396
96, 0, 0, 388, 916, 1708, 0, 0, 264
97, 0, 0, 485, 1145, 2135, 0, 0, 330
98, 0, 0, 0, 0, 0, 0, 0, 0
99, 0, 0, 0, 0, 0, 70, 66, 0
