second, 172.17.0.3:1883 -> 172.17.0.1:60054, 172.17.0.2:1883 -> 172.17.0.1:48444, 172.17.0.1:35173 -> 239.255.255.250:1900, 172.17.0.1:60054 -> 172.17.0.3:1883, 172.17.0.3:57433 -> 172.17.0.2:6369, 172.17.0.1:41322 -> 239.255.255.250:1900, 172.17.0.2:6369 -> 172.17.0.3:57433, 172.17.0.1:48444 -> 172.17.0.2:1883
0, 0, 68, 0, 0, 66, 0, 111, 134
1, 68, 0, 0, 134, 111, 0, 66, 0
2, 0, 0, 0, 0, 66, 0, 111, 0
3, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 111, 0, 66, 0
5, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 177, 0, 177, 0
7, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 66, 0, 111, 0
9, 0, 0, 0, 0, 111, 0, 66, 0
10, 0, 68, 0, 0, 66, 0, 111, 134
11, 68, 0, 0, 134, 111, 0, 66, 0
12, 0, 0, 0, 0, 0, 0, 0, 0
13, 0, 0, 0, 0, 0, 0, 0, 0
14, 0, 0, 0, 0, 177, 0, 177, 0
15, 0, 0, 0, 0, 0, 0, 0, 0
16, 0, 0, 0, 0, 198, 0, 1172, 0
17, 0, 0, 0, 0, 111, 0, 66, 0
18, 0, 0, 0, 0, 66, 0, 111, 0
19, 0, 269, 213, 0, 1647, 0, 933, 473
20, 0, 0, 213, 0, 0, 0, 0, 0
21, 68, 0, 213, 134, 111, 0, 66, 0
22, 0, 0, 213, 0, 66, 0, 111, 0
23, 0, 0, 0, 0, 0, 0, 0, 0
24, 0, 0, 0, 0, 111, 0, 66, 0
25, 0, 269, 0, 0, 541, 0, 846, 473
26, 0, 0, 0, 0, 0, 0, 0, 0
27, 0, 0, 0, 0, 111, 0, 0, 0
28, 0, 0, 0, 0, 66, 0, 177, 0
29, 0, 0, 0, 0, 0, 0, 0, 0
30, 0, 0, 0, 0, 111, 0, 66, 0
31, 68, 0, 0, 134, 0, 0, 0, 0
32, 0, 0, 0, 0, 66, 0, 111, 0
33, 0, 0, 0, 0, 0, 0, 0, 0
34, 0, 0, 0, 0, 111, 0, 66, 0
35, 0, 68, 0, 0, 0, 0, 0, 134
36, 0, 0, 0, 0, 177, 0, 177, 0
37, 0, 0, 0, 0, 0, 0, 0, 0
38, 0, 0, 0, 0, 0, 0, 0, 0
39, 0, 0, 0, 0, 177, 0, 177, 0
40, 1518, 405, 0, 1725, 1600, 0, 330, 330
41, 1980, 486, 0, 2070, 1920, 0, 396, 396
42, 1980, 486, 0, 2070, 2097, 0, 573, 396
43, 1650, 405, 0, 1725, 1600, 0, 330, 330
44, 1980, 486, 0, 2070, 1920, 0, 396, 396
45, 1650, 473, 0, 1725, 1666, 0, 441, 464
46, 1650, 405, 0, 1725, 1711, 0, 396, 330
47, 1650, 405, 0, 1725, 1600, 0, 330, 330
48, 1980, 486, 0, 2070, 2031, 0, 462, 396
49, 1650, 405, 0, 1725, 1666, 0, 441, 330
50, 1650, 405, 0, 1725, 1600, 0, 330, 330
51, 1650, 405, 0, 1725, 1600, 0, 330, 330
52, 1320, 324, 0, 1380, 1457, 0, 441, 264
53, 1650, 405, 0, 1725, 1600, 0, 330, 330
54, 1650, 405, 0, 1725, 1666, 0, 441, 330
55, 990, 311, 0, 1035, 1071, 0, 264, 332
56, 0, 0, 0, 0, 0, 0, 0, 0
57, 0, 0, 0, 0, 66, 0, 111, 0
58, 0, 0, 0, 0, 111, 0, 66, 0
59, 0, 0, 0, 0, 66, 0, 111, 0
60, 0, 0, 0, 0, 0, 0, 0, 0
61, 0, 0, 0, 0, 111, 0, 66, 0
62, 734, 498, 0, 960, 652, 0, 132, 470
63, 1608, 1560, 0, 2814, 2022, 0, 507, 1212
64, 1072, 1194, 0, 1986, 1415, 0, 330, 808
65, 1608, 1692, 0, 2880, 2022, 0, 507, 1212
66, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
67, 1072, 1128, 0, 1920, 1415, 0, 330, 808
68, 1340, 1410, 0, 2400, 1696, 0, 441, 1010
69, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
70, 1072, 1128, 0, 1920, 1304, 0, 264, 808
71, 1608, 1560, 0, 2880, 2133, 0, 573, 1077
72, 1072, 1260, 0, 1920, 1304, 0, 264, 943
73, 1072, 1128, 0, 1920, 1481, 0, 441, 808
74, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
75, 1340, 1410, 0, 2400, 1696, 0, 441, 1010
76, 804, 846, 0, 1440, 1176, 0, 1370, 606
77, 1072, 1128, 0, 1920, 1415, 0, 330, 808
78, 1072, 1128, 0, 1920, 1304, 0, 264, 808
79, 1340, 1410, 0, 2400, 2802, 0, 639, 1010
80, 1340, 1410, 0, 2400, 1741, 0, 396, 1010
81, 1340, 1410, 0, 2400, 1696, 0, 441, 1010
82, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
83, 1340, 1410, 0, 2400, 1807, 0, 507, 1010
84, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
85, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
86, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
87, 1072, 1128, 0, 1920, 1481, 0, 441, 808
88, 1608, 1692, 0, 2880, 1956, 0, 396, 1212
89, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
90, 1072, 1128, 0, 1920, 1415, 0, 330, 808
91, 1340, 1410, 0, 2400, 1696, 0, 441, 1010
92, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
93, 1340, 1410, 0, 2400, 1630, 0, 330, 1010
94, 1340, 1410, 0, 2400, 1807, 0, 507, 1010
95, 268, 282, 0, 480, 326, 0, 66, 202
96, 0, 0, 0, 0, 66, 0, 111, 0
97, 0, 0, 0, 0, 0, 0, 0, 0
98, 0, 0, 0, 0, 111, 0, 66, 0
99, 0, 0, 0, 0, 66, 0, 111, 0
100, 0, 0, 0, 0, 111, 0, 66, 0
101, 0, 0, 0, 0, 0, 0, 0, 0
102, 0, 0, 0, 0, 0, 0, 0, 0
103, 0, 0, 0, 0, 66, 0, 111, 0
104, 2424, 2838, 0, 4488, 2067, 0, 462, 2424
105, 2020, 2486, 0, 3740, 1696, 0, 441, 2020
106, 2424, 2838, 0, 4488, 2067, 0, 462, 2424
107, 1616, 2002, 0, 2992, 1304, 0, 264, 1616
108, 2424, 2838, 0, 4422, 2022, 0, 507, 2424
109, 1616, 2002, 0, 3058, 1415, 0, 330, 1616
110, 2020, 2420, 0, 3740, 1630, 0, 330, 2020
111, 2020, 2222, 0, 3608, 1696, 0, 441, 2020
112, 1616, 1936, 0, 2992, 1415, 0, 330, 1616
113, 2424, 2838, 0, 4422, 1956, 0, 396, 2424
114, 1616, 2002, 0, 3058, 1415, 0, 330, 1616
115, 2152, 2420, 0, 4012, 1696, 0, 441, 2020
116, 1888, 2420, 0, 3468, 1630, 0, 330, 2020
117, 1616, 1936, 0, 2992, 1415, 0, 330, 1616
118, 1550, 1936, 0, 2992, 1370, 0, 375, 1616
119, 2288, 2354, 0, 4088, 1630, 0, 330, 2020
120, 1752, 2288, 0, 3260, 1630, 0, 330, 2020
121, 2020, 2288, 0, 3674, 1807, 0, 507, 1818
122, 2020, 2552, 0, 3806, 1630, 0, 330, 2222
123, 2020, 2354, 0, 3674, 1741, 0, 396, 2020
124, 1212, 1518, 0, 2310, 1044, 0, 309, 1212
125, 0, 0, 0, 0, 0, 0, 0, 0
126, 0, 0, 0, 0, 111, 0, 66, 0
127, 1616, 1804, 0, 2926, 1370, 0, 309, 1414
128, 2020, 2552, 0, 3806, 1630, 0, 396, 2222
129, 1884, 1936, 0, 3472, 1304, 0, 264, 1616
130, 1752, 2420, 0, 3260, 1741, 0, 396, 2020
131, 1616, 1936, 0, 2992, 1367, 0, 375, 1616
132, 1616, 1870, 0, 2926, 1415, 0, 330, 1616
133, 4040, 4774, 0, 7480, 3326, 0, 771, 3838
134, 0, 132, 0, 66, 0, 0, 0, 202
135, 2020, 2222, 0, 3608, 1741, 0, 507, 2020
136, 3636, 4290, 0, 6666, 3000, 0, 1766, 3568
137, 3636, 4422, 0, 6798, 2934, 0, 594, 3704
138, 4444, 5060, 0, 8030, 3697, 0, 792, 4444
139, 3232, 3872, 0, 5984, 3846, 213, 705, 3232
140, 404, 550, 0, 814, 326, 213, 66, 404
141, 0, 0, 0, 0, 111, 213, 66, 0
142, 0, 0, 0, 0, 0, 213, 0, 0
143, 0, 0, 0, 0, 66, 0, 111, 0
